date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,8.2,8.28,7.99,8.16,8.11,0.0500000000000007,0.62,998988.0,3886304.5,2.086,0.010931,0.010989,1.18,,,3.8849,6.362,7.1271,0.0,,541799175.0,91391300.0,90905401.0,2118434774.0,357339983.0,房产服务,房地产,房地产开发,住宅开发,4.08,3.7,
2009-01-06,8.24,8.45,8.14,8.43,8.16,0.2699999999999996,3.31,1034236.0,4135275.8,2.086,0.0113169999999999,0.011377,1.26,,,4.014,6.5735,7.3641,0.0,,541799175.0,91391300.0,90905401.0,2188868667.0,369220852.0,房产服务,房地产,房地产开发,住宅开发,4.11,3.71,
2009-01-07,8.34,8.59,8.34,8.49,8.43,0.0600000000000005,0.71,901959.0,3661965.2,2.086,0.009869,0.009922,1.11,,,4.0438,6.6223,7.4188,0.0,,541799175.0,91391300.0,90905401.0,2205122642.0,371962591.0,房产服务,房地产,房地产开发,住宅开发,4.24,3.84,
2009-01-08,8.39,8.68,8.22,8.51,8.49,0.0199999999999995,0.24,1050600.0,4301621.0,2.086,0.011496,0.011557,1.28,,,4.0538,6.6386,7.437,0.0,,541799175.0,91391300.0,90905401.0,2210540634.0,372876504.0,房产服务,房地产,房地产开发,住宅开发,4.27,3.87,
2009-01-09,8.51,8.72,8.49,8.72,8.51,0.2100000000000008,2.47,934247.0,3868559.8,2.086,0.010222,0.010277,1.09,,,4.1531,6.8013,7.6193,0.0,,541799175.0,91391300.0,90905401.0,2264720552.0,382015634.0,房产服务,房地产,房地产开发,住宅开发,4.28,3.88,
2009-01-12,8.76,8.95,8.64,8.76,8.72,0.0399999999999991,0.46,899849.0,3793233.4,2.086,0.009846,0.009899,0.91,,,4.173,6.8338,7.6557,0.0,,541799175.0,91391300.0,90905401.0,2275556535.0,383843460.0,房产服务,房地产,房地产开发,住宅开发,4.39,3.97,
2009-01-13,8.51,8.72,8.32,8.32,8.76,-0.4399999999999995,-5.02,902660.0,3671632.0,2.086,0.009877,0.00993,0.94,,,3.9644,6.4921,7.2729,0.0,,541799175.0,91391300.0,90905401.0,2161778708.0,364651287.0,房产服务,房地产,房地产开发,住宅开发,4.41,3.99,
2009-01-14,8.32,8.66,8.3,8.59,8.32,0.2699999999999996,3.25,539693.0,2199016.7,2.086,0.005905,0.005937,0.58,,,4.0935,6.7036,7.5099,0.0,,541799175.0,91391300.0,90905401.0,2232212601.0,376532156.00000006,房产服务,房地产,房地产开发,住宅开发,4.19,3.79,
2009-01-15,8.55,8.82,8.55,8.64,8.59,0.0500000000000007,0.58,691683.0,2883123.1,2.086,0.007568,0.007609,0.8,,,4.1134,6.7362,7.5464,0.0,,541799175.0,91391300.0,90905401.0,2243048585.0,378359982.0,房产服务,房地产,房地产开发,住宅开发,4.33,3.91,
2009-01-16,8.76,8.84,8.57,8.7,8.64,0.0599999999999987,0.69,1313948.0,5470824.7,2.086,0.014377,0.014454,1.66,,,4.1432,6.785,7.601,0.0,,541799175.0,91391300.0,90905401.0,2259302560.0,381101721.00000006,房产服务,房地产,房地产开发,住宅开发,4.35,3.93,
