date,open,high,low,close,pre_close,change,pct_chg,volume,amount,factor,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,industry,l1_name,l2_name,l3_name,up_limit,down_limit,is_st
2009-01-05,4.4,4.51,4.24,4.4,4.47,-0.0699999999999994,-1.57,8295841.0,17333000.2,2.097,0.137387,0.206057,1.0,,,,335.9834,392.0333,0.0,,288420000.0,60382950.0,40260000.0,605682000.0,126804195.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.24,2.02,
2009-01-06,4.38,4.63,4.34,4.63,4.4,0.2299999999999995,5.23,8345664.999999999,18154651.8,2.097,0.138212,0.2072939999999999,0.95,,,,353.5825,412.5684,0.0,,288420000.0,60382950.0,40260000.0,637408200.0,133446320.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.21,2.0,
2009-01-07,4.63,4.8,4.53,4.68,4.63,0.0499999999999998,1.08,7541420.0,16774222.9,2.097,0.124893,0.1873179999999999,0.78,,,,356.7824,416.3021,0.0,,288420000.0,60382950.0,40260000.0,643176600.0,134653979.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.32,2.1,
2009-01-08,4.59,4.72,4.53,4.55,4.68,-0.1299999999999999,-2.78,4637804.0,10160496.0,2.097,0.076807,0.115196,0.63,,,,347.1828,405.1011,0.0,,288420000.0,60382950.0,40260000.0,625871400.0,131031002.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.34,2.12,
2009-01-09,4.55,4.68,4.51,4.66,4.55,0.1100000000000003,2.42,4489540.0,9869483.3,2.097,0.074351,0.111514,0.55,,,,355.1824,414.4352,0.0,,288420000.0,60382950.0,40260000.0,640292400.0,134050149.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.28,2.06,
2009-01-12,4.66,4.89,4.66,4.89,4.66,0.2299999999999995,4.94,5556887.0,12850104.9,2.097,0.092027,0.138025,0.83,,,,372.7816,434.9703,0.0,,288420000.0,60382950.0,40260000.0,672018600.0,140692274.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.33,2.11,
2009-01-13,4.89,5.14,4.76,5.03,4.89,0.1400000000000005,2.86,7671450.999999999,18130678.3,2.097,0.127047,0.190548,1.25,,,,383.981,448.0381,0.0,,288420000.0,60382950.0,40260000.0,692208000.0,144919080.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.45,2.21,
2009-01-14,5.03,5.07,4.8,5.03,5.03,0.0,0.0,4669459.0,11035600.0,2.097,0.077331,0.115983,0.78,,,,383.981,448.0381,0.0,,288420000.0,60382950.0,40260000.0,692208000.0,144919080.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.52,2.28,
2009-01-15,4.99,5.01,4.87,4.91,5.03,-0.1200000000000001,-2.39,3450356.0,8119490.7,2.097,0.057141,0.085702,0.64,,,,374.3815,436.8371,0.0,,288420000.0,60382950.0,40260000.0,674902800.0,141296103.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.52,2.28,
2009-01-16,4.89,5.01,4.82,4.97,4.91,0.0599999999999996,1.22,4368019.0,10267344.3,2.097,0.072339,0.108495,0.85,,,,379.1813,442.4376,0.0,,288420000.0,60382950.0,40260000.0,683555399.9999999,143107592.0,汽车配件,汽车,汽车零部件,底盘与发动机系统,2.46,2.22,
